Date,Month,Day,Type
06/03/2025,3,Thursday,Weekday
07/03/2025,3,Friday,Weekday
08/03/2025,3,Saturday,Weekend
09/03/2025,3,Sunday,Weekend
10/03/2025,3,Monday,Weekday
11/03/2025,3,Tuesday,Weekday
12/03/2025,3,Wednesday,Weekday
13/03/2025,3,Thursday,Weekday
14/03/2025,3,Friday,Weekday
15/03/2025,3,Saturday,Weekend
16/03/2025,3,Sunday,Weekend
17/03/2025,3,Monday,Weekday
18/03/2025,3,Tuesday,Weekday
19/03/2025,3,Wednesday,Weekday
20/03/2025,3,Thursday,Weekday
21/03/2025,3,Friday,Weekday
22/03/2025,3,Saturday,Weekend
23/03/2025,3,Sunday,Weekend
24/03/2025,3,Monday,Weekday
25/03/2025,3,Tuesday,Weekday
26/03/2025,3,Wednesday,Weekday
27/03/2025,3,Thursday,Weekday
28/03/2025,3,Friday,Weekday
29/03/2025,3,Saturday,Weekend
30/03/2025,3,Sunday,Weekend
31/03/2025,3,Monday,Weekday
01/04/2025,4,Tuesday,Weekday
02/04/2025,4,Wednesday,Weekday
03/04/2025,4,Thursday,Weekday
04/04/2025,4,Friday,Weekday
05/04/2025,4,Saturday,Weekend
06/04/2025,4,Sunday,Weekend
07/04/2025,4,Monday,Weekday
08/04/2025,4,Tuesday,Weekday
09/04/2025,4,Wednesday,Weekday
10/04/2025,4,Thursday,Weekday
11/04/2025,4,Friday,Weekday
12/04/2025,4,Saturday,Weekend
13/04/2025,4,Sunday,Weekend
14/04/2025,4,Monday,Weekday
15/04/2025,4,Tuesday,Weekday
16/04/2025,4,Wednesday,Weekday
17/04/2025,4,Thursday,Weekday
18/04/2025,4,Friday,Weekday
19/04/2025,4,Saturday,Weekend
20/04/2025,4,Sunday,Weekend
21/04/2025,4,Monday,Weekday
22/04/2025,4,Tuesday,Weekday
23/04/2025,4,Wednesday,Weekday
24/04/2025,4,Thursday,Weekday
25/04/2025,4,Friday,Weekday
26/04/2025,4,Saturday,Weekend
27/04/2025,4,Sunday,Weekend
28/04/2025,4,Monday,Weekday
29/04/2025,4,Tuesday,Weekday
30/04/2025,4,Wednesday,Weekday
01/05/2025,5,Thursday,Weekday
02/05/2025,5,Friday,Weekday
03/05/2025,5,Saturday,Weekend
04/05/2025,5,Sunday,Weekend
05/05/2025,5,Monday,Weekday
06/05/2025,5,Tuesday,Weekday
07/05/2025,5,Wednesday,Weekday
08/05/2025,5,Thursday,Weekday
09/05/2025,5,Friday,Weekday
10/05/2025,5,Saturday,Weekend
11/05/2025,5,Sunday,Weekend
12/05/2025,5,Monday,Weekday
13/05/2025,5,Tuesday,Weekday
14/05/2025,5,Wednesday,Weekday
15/05/2025,5,Thursday,Weekday
16/05/2025,5,Friday,Weekday
17/05/2025,5,Saturday,Weekend
18/05/2025,5,Sunday,Weekend
19/05/2025,5,Monday,Weekday
20/05/2025,5,Tuesday,Weekday
21/05/2025,5,Wednesday,Weekday
22/05/2025,5,Thursday,Weekday
23/05/2025,5,Friday,Weekday
24/05/2025,5,Saturday,Weekend
25/05/2025,5,Sunday,Weekend
26/05/2025,5,Monday,Weekday
27/05/2025,5,Tuesday,Weekday
28/05/2025,5,Wednesday,Weekday
29/05/2025,5,Thursday,Weekday
30/05/2025,5,Friday,Weekday
31/05/2025,5,Saturday,Weekend
01/06/2025,6,Sunday,Weekend
02/06/2025,6,Monday,Weekday
03/06/2025,6,Tuesday,Weekday
04/06/2025,6,Wednesday,Weekday
05/06/2025,6,Thursday,Weekday
06/06/2025,6,Friday,Weekday
07/06/2025,6,Saturday,Weekend
08/06/2025,6,Sunday,Weekend
09/06/2025,6,Monday,Weekday
10/06/2025,6,Tuesday,Weekday
11/06/2025,6,Wednesday,Weekday
12/06/2025,6,Thursday,Weekday
13/06/2025,6,Friday,Weekday
